sample_name,split,part_name,ground_truth,predicted,prediction_probability,correct,source_file,ground_truth_rms_db,mixture_file_path,pt_file_path,processing_timestamp
sample000001,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000001,,2025-07-30 10:13:10
sample000002,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000002,,2025-07-30 10:13:10
sample000003,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000003,,2025-07-30 10:13:10
sample000004,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000004,,2025-07-30 10:13:10
sample000005,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000005,,2025-07-30 10:13:10
sample000006,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000006,,2025-07-30 10:13:10
sample000007,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000007,,2025-07-30 10:13:10
sample000008,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000008,,2025-07-30 10:13:10
sample000009,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000009,,2025-07-30 10:13:10
sample000010,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000010,,2025-07-30 10:13:10
sample000011,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000011,,2025-07-30 10:13:10
sample000012,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000012,,2025-07-30 10:13:10
sample000013,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000013,,2025-07-30 10:13:10
sample000014,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000014,,2025-07-30 10:13:10
sample000015,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000015,,2025-07-30 10:13:10
sample000016,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000016,,2025-07-30 10:13:10
sample000017,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000017,,2025-07-30 10:13:10
sample000018,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000018,,2025-07-30 10:13:10
sample000019,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000019,,2025-07-30 10:13:10
sample000020,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000020,,2025-07-30 10:13:10
sample000021,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000021,,2025-07-30 10:13:10
sample000022,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000022,,2025-07-30 10:13:10
sample000023,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000023,,2025-07-30 10:13:10
sample000024,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000024,,2025-07-30 10:13:10
sample000025,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000025,,2025-07-30 10:13:10
sample000026,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000026,,2025-07-30 10:13:10
sample000027,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000027,,2025-07-30 10:13:10
sample000028,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000028,,2025-07-30 10:13:10
sample000029,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000029,,2025-07-30 10:13:10
sample000030,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000030,,2025-07-30 10:13:10
sample000031,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000031,,2025-07-30 10:13:10
sample000032,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000032,,2025-07-30 10:13:10
sample000033,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000033,,2025-07-30 10:13:10
sample000034,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000034,,2025-07-30 10:13:10
sample000035,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000035,,2025-07-30 10:13:10
sample000036,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000036,,2025-07-30 10:13:10
sample000037,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000037,,2025-07-30 10:13:10
sample000038,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000038,,2025-07-30 10:13:10
sample000039,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000039,,2025-07-30 10:13:10
sample000040,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000040,,2025-07-30 10:13:10
sample000041,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000041,,2025-07-30 10:13:10
sample000042,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000042,,2025-07-30 10:13:10
sample000043,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000043,,2025-07-30 10:13:10
sample000044,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000044,,2025-07-30 10:13:10
sample000045,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000045,,2025-07-30 10:13:10
sample000046,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000046,,2025-07-30 10:13:10
sample000047,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000047,,2025-07-30 10:13:10
sample000048,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000048,,2025-07-30 10:13:10
sample000049,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000049,,2025-07-30 10:13:10
sample000050,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000050,,2025-07-30 10:13:10
sample000051,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000051,,2025-07-30 10:13:10
sample000052,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000052,,2025-07-30 10:13:10
sample000053,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000053,,2025-07-30 10:13:10
sample000054,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000054,,2025-07-30 10:13:10
sample000055,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000055,,2025-07-30 10:13:10
sample000056,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000056,,2025-07-30 10:13:10
sample000057,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000057,,2025-07-30 10:13:10
sample000058,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000058,,2025-07-30 10:13:10
sample000059,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000059,,2025-07-30 10:13:10
sample000060,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000060,,2025-07-30 10:13:10
sample000061,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000061,,2025-07-30 10:13:10
sample000062,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000062,,2025-07-30 10:13:10
sample000063,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000063,,2025-07-30 10:13:10
sample000064,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000064,,2025-07-30 10:13:10
sample000065,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000065,,2025-07-30 10:13:10
sample000066,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000066,,2025-07-30 10:13:10
sample000067,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000067,,2025-07-30 10:13:10
sample000068,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000068,,2025-07-30 10:13:10
sample000069,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000069,,2025-07-30 10:13:10
sample000070,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000070,,2025-07-30 10:13:10
sample000071,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000071,,2025-07-30 10:13:10
sample000072,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000072,,2025-07-30 10:13:10
sample000073,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000073,,2025-07-30 10:13:10
sample000074,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000074,,2025-07-30 10:13:10
sample000075,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000075,,2025-07-30 10:13:10
sample000076,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000076,,2025-07-30 10:13:10
sample000077,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000077,,2025-07-30 10:13:10
sample000078,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000078,,2025-07-30 10:13:10
sample000079,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000079,,2025-07-30 10:13:10
sample000080,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000080,,2025-07-30 10:13:10
sample000081,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000081,,2025-07-30 10:13:10
sample000082,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000082,,2025-07-30 10:13:10
sample000083,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000083,,2025-07-30 10:13:10
sample000084,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000084,,2025-07-30 10:13:10
sample000085,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000085,,2025-07-30 10:13:10
sample000086,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000086,,2025-07-30 10:13:10
sample000087,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000087,,2025-07-30 10:13:10
sample000088,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000088,,2025-07-30 10:13:10
sample000089,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000089,,2025-07-30 10:13:10
sample000090,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000090,,2025-07-30 10:13:10
sample000091,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000091,,2025-07-30 10:13:10
sample000092,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000092,,2025-07-30 10:13:10
sample000093,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000093,,2025-07-30 10:13:10
sample000094,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000094,,2025-07-30 10:13:10
sample000095,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000095,,2025-07-30 10:13:10
sample000096,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000096,,2025-07-30 10:13:10
sample000097,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000097,,2025-07-30 10:13:10
sample000098,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000098,,2025-07-30 10:13:10
sample000099,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000099,,2025-07-30 10:13:10
sample000100,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000100,,2025-07-30 10:13:10
sample000101,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000101,,2025-07-30 10:13:10
sample000102,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000102,,2025-07-30 10:13:10
sample000103,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000103,,2025-07-30 10:13:10
sample000104,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000104,,2025-07-30 10:13:10
sample000105,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000105,,2025-07-30 10:13:10
sample000106,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000106,,2025-07-30 10:13:10
sample000107,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000107,,2025-07-30 10:13:10
sample000108,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000108,,2025-07-30 10:13:10
sample000109,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000109,,2025-07-30 10:13:10
sample000110,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000110,,2025-07-30 10:13:10
sample000111,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000111,,2025-07-30 10:13:10
sample000112,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000112,,2025-07-30 10:13:10
sample000113,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000113,,2025-07-30 10:13:10
sample000114,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000114,,2025-07-30 10:13:10
sample000115,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000115,,2025-07-30 10:13:10
sample000116,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000116,,2025-07-30 10:13:10
sample000117,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000117,,2025-07-30 10:13:10
sample000118,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000118,,2025-07-30 10:13:10
sample000119,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000119,,2025-07-30 10:13:10
sample000120,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000120,,2025-07-30 10:13:10
sample000121,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000121,,2025-07-30 10:13:10
sample000122,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000122,,2025-07-30 10:13:10
sample000123,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000123,,2025-07-30 10:13:10
sample000124,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000124,,2025-07-30 10:13:10
sample000125,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000125,,2025-07-30 10:13:10
sample000126,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000126,,2025-07-30 10:13:10
sample000127,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000127,,2025-07-30 10:13:10
sample000128,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000128,,2025-07-30 10:13:10
sample000129,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000129,,2025-07-30 10:13:10
sample000130,unknown,ERROR,unknown,error,0.0,False,,0.0,test2\sample000130,,2025-07-30 10:13:10
