sample_name,split,part_name,ground_truth,predicted,prediction_probability,correct,source_file,ground_truth_rms_db,mixture_file_path,pt_file_path,processing_timestamp
sample000001,test,fan,faulty,abnormal,1.0,False,D:\machine_sounds\fan_faulty\sample045.wav,-12.0,test2\sample000001\mixture.wav,output\2025-07-29_11-37-52_mic_1_fan.pt,2025-07-29 11:37:53
sample000001,test,pump,normal,abnormal,1.0,False,D:\machine_sounds\pump_normal\sample1929.wav,-12.0,test2\sample000001\mixture.wav,output\2025-07-29_11-37-52_mic_1_pump.pt,2025-07-29 11:37:53
sample000001,test,slider,normal,abnormal,1.0,False,D:\machine_sounds\slider_normal\sample380.wav,-12.0,test2\sample000001\mixture.wav,output\2025-07-29_11-37-52_mic_1_slider.pt,2025-07-29 11:37:53
sample000001,test,bearing,normal,abnormal,1.0,False,D:\machine_sounds\bearing_normal\sample3258.wav,-12.0,test2\sample000001\mixture.wav,output\2025-07-29_11-37-52_mic_1_bearing.pt,2025-07-29 11:37:53
sample000001,test,gearbox,faulty,abnormal,1.0,False,D:\machine_sounds\gearbox_faulty\sample295.wav,-12.0,test2\sample000001\mixture.wav,output\2025-07-29_11-37-52_mic_1_gearbox.pt,2025-07-29 11:37:53
sample000002,test,fan,normal,normal,0.0,True,D:\machine_sounds\fan_normal\sample193.wav,-12.0,test2\sample000002\mixture.wav,output\2025-07-29_11-37-53_mic_1_fan.pt,2025-07-29 11:37:54
sample000002,test,pump,faulty,normal,0.002,False,D:\machine_sounds\pump_faulty\sample178.wav,-12.0,test2\sample000002\mixture.wav,output\2025-07-29_11-37-53_mic_1_pump.pt,2025-07-29 11:37:54
sample000002,test,slider,faulty,normal,0.019,False,D:\machine_sounds\slider_faulty\sample243.wav,-12.069,test2\sample000002\mixture.wav,output\2025-07-29_11-37-53_mic_1_slider.pt,2025-07-29 11:37:54
sample000002,test,bearing,faulty,normal,0.051,False,D:\machine_sounds\bearing_faulty\sample263.wav,-12.0,test2\sample000002\mixture.wav,output\2025-07-29_11-37-53_mic_1_bearing.pt,2025-07-29 11:37:54
sample000002,test,gearbox,faulty,normal,0.0,False,D:\machine_sounds\gearbox_faulty\sample295.wav,-12.0,test2\sample000002\mixture.wav,output\2025-07-29_11-37-53_mic_1_gearbox.pt,2025-07-29 11:37:54
sample000003,test,fan,faulty,abnormal,1.0,False,D:\machine_sounds\fan_faulty\sample045.wav,-12.0,test2\sample000003\mixture.wav,output\2025-07-29_11-37-55_mic_1_fan.pt,2025-07-29 11:37:55
