sample_name,split,part_name,ground_truth,predicted,prediction_probability,correct,source_file,ground_truth_rms_db,mixture_file_path,pt_file_path,processing_timestamp
sample000001,test,fan,faulty,abnormal,1.0,True,D:\machine_sounds\fan_faulty\sample045.wav,-12.0,test2\sample000001\mixture.wav,output\2025-07-29_13-31-57_mic_1_fan.pt,2025-07-29 13:31:59
sample000001,test,pump,normal,abnormal,1.0,False,D:\machine_sounds\pump_normal\sample1929.wav,-12.0,test2\sample000001\mixture.wav,output\2025-07-29_13-31-57_mic_1_pump.pt,2025-07-29 13:31:59
sample000001,test,slider,normal,abnormal,1.0,False,D:\machine_sounds\slider_normal\sample380.wav,-12.0,test2\sample000001\mixture.wav,output\2025-07-29_13-31-57_mic_1_slider.pt,2025-07-29 13:31:59
sample000001,test,bearing,normal,abnormal,0.997,False,D:\machine_sounds\bearing_normal\sample3258.wav,-12.0,test2\sample000001\mixture.wav,output\2025-07-29_13-31-57_mic_1_bearing.pt,2025-07-29 13:31:59
sample000001,test,gearbox,faulty,abnormal,1.0,True,D:\machine_sounds\gearbox_faulty\sample295.wav,-12.0,test2\sample000001\mixture.wav,output\2025-07-29_13-31-57_mic_1_gearbox.pt,2025-07-29 13:31:59
sample000002,test,fan,normal,normal,0.08,True,D:\machine_sounds\fan_normal\sample193.wav,-12.0,test2\sample000002\mixture.wav,output\2025-07-29_13-31-59_mic_1_fan.pt,2025-07-29 13:32:00
sample000002,test,pump,faulty,normal,0.017,False,D:\machine_sounds\pump_faulty\sample178.wav,-12.0,test2\sample000002\mixture.wav,output\2025-07-29_13-31-59_mic_1_pump.pt,2025-07-29 13:32:00
sample000002,test,slider,faulty,abnormal,0.999,True,D:\machine_sounds\slider_faulty\sample243.wav,-12.069,test2\sample000002\mixture.wav,output\2025-07-29_13-31-59_mic_1_slider.pt,2025-07-29 13:32:00
sample000002,test,bearing,faulty,abnormal,0.946,True,D:\machine_sounds\bearing_faulty\sample263.wav,-12.0,test2\sample000002\mixture.wav,output\2025-07-29_13-31-59_mic_1_bearing.pt,2025-07-29 13:32:00
sample000002,test,gearbox,faulty,normal,0.027,False,D:\machine_sounds\gearbox_faulty\sample295.wav,-12.0,test2\sample000002\mixture.wav,output\2025-07-29_13-31-59_mic_1_gearbox.pt,2025-07-29 13:32:00
sample000003,test,fan,faulty,abnormal,0.905,True,D:\machine_sounds\fan_faulty\sample045.wav,-12.0,test2\sample000003\mixture.wav,output\2025-07-29_13-32-00_mic_1_fan.pt,2025-07-29 13:32:01
sample000003,test,pump,faulty,abnormal,0.997,True,D:\machine_sounds\pump_faulty\sample178.wav,-12.013,test2\sample000003\mixture.wav,output\2025-07-29_13-32-00_mic_1_pump.pt,2025-07-29 13:32:01
sample000003,test,slider,normal,abnormal,1.0,False,D:\machine_sounds\slider_normal\sample123.wav,-12.002,test2\sample000003\mixture.wav,output\2025-07-29_13-32-00_mic_1_slider.pt,2025-07-29 13:32:01
sample000003,test,bearing,faulty,abnormal,0.998,True,D:\machine_sounds\bearing_faulty\sample263.wav,-12.0,test2\sample000003\mixture.wav,output\2025-07-29_13-32-00_mic_1_bearing.pt,2025-07-29 13:32:01
sample000003,test,gearbox,normal,abnormal,0.987,False,D:\machine_sounds\gearbox_normal\sample2965.wav,-12.0,test2\sample000003\mixture.wav,output\2025-07-29_13-32-00_mic_1_gearbox.pt,2025-07-29 13:32:01
sample000004,test,fan,faulty,normal,0.279,False,D:\machine_sounds\fan_faulty\sample045.wav,-12.0,test2\sample000004\mixture.wav,output\2025-07-29_13-32-02_mic_1_fan.pt,2025-07-29 13:32:03
sample000004,test,pump,normal,normal,0.043,True,D:\machine_sounds\pump_normal\sample1329.wav,-12.0,test2\sample000004\mixture.wav,output\2025-07-29_13-32-02_mic_1_pump.pt,2025-07-29 13:32:03
